train_seed	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
0	0	48.7905	77.0229	49.9391	21.7001	55.8152	72.2957	/dev/shm/diffdet_eval_baseline_iter10000_step5/train0_evalseed0
0	1	47.9617	77.0358	48.3328	21.0858	54.4639	72.7975	/dev/shm/diffdet_eval_baseline_iter10000_step5/train0_evalseed1
0	2	50.1169	78.4086	50.0307	22.0256	57.0876	73.2926	/dev/shm/diffdet_eval_baseline_iter10000_step5/train0_evalseed2
0	3	49.0189	78.4595	49.1101	21.3714	56.3247	72.4872	/dev/shm/diffdet_eval_baseline_iter10000_step5/train0_evalseed3
0	4	48.9390	77.0132	49.0684	20.7240	56.1428	73.1494	/dev/shm/diffdet_eval_baseline_iter10000_step5/train0_evalseed4
1	0	47.7472	76.1368	48.4176	19.5452	55.1981	72.8513	/dev/shm/diffdet_eval_baseline_iter10000_step5/train1_evalseed0
1	1	48.0380	76.5675	48.0692	21.0154	55.0099	73.5650	/dev/shm/diffdet_eval_baseline_iter10000_step5/train1_evalseed1
1	2	47.9097	76.4005	48.0429	20.4322	54.7662	74.9582	/dev/shm/diffdet_eval_baseline_iter10000_step5/train1_evalseed2
1	3	47.9370	77.2896	47.4642	21.0266	55.4668	71.3079	/dev/shm/diffdet_eval_baseline_iter10000_step5/train1_evalseed3
1	4	47.3419	76.2428	46.7889	20.2131	54.9889	70.0367	/dev/shm/diffdet_eval_baseline_iter10000_step5/train1_evalseed4
2	0	48.3050	75.8389	50.6134	22.1712	54.5077	71.4549	/dev/shm/diffdet_eval_baseline_iter10000_step5/train2_evalseed0
2	1	48.0601	75.4178	51.9395	21.0887	54.4912	71.3652	/dev/shm/diffdet_eval_baseline_iter10000_step5/train2_evalseed1
2	2	48.2292	76.2316	51.9793	20.2313	54.7719	72.3200	/dev/shm/diffdet_eval_baseline_iter10000_step5/train2_evalseed2
2	3	47.4675	75.9187	47.2092	21.0261	53.8461	72.3202	/dev/shm/diffdet_eval_baseline_iter10000_step5/train2_evalseed3
2	4	48.4824	76.6735	51.0978	21.1779	55.0265	70.9911	/dev/shm/diffdet_eval_baseline_iter10000_step5/train2_evalseed4
