train_seed	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
0	0	46.7043	73.6118	48.4543	18.8480	53.9401	70.3784	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train0_evalseed0
0	1	46.4770	73.2717	47.4727	18.9921	54.1242	70.1178	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train0_evalseed1
0	2	46.3469	74.0871	47.0841	18.4198	54.0664	68.5793	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train0_evalseed2
0	3	46.7836	72.6784	49.1466	18.2172	54.6578	70.6806	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train0_evalseed3
0	4	47.2204	73.3978	48.3469	18.2330	55.5337	69.8078	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train0_evalseed4
1	0	49.5426	77.5991	52.2688	20.0837	56.9988	75.9984	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train1_evalseed0
1	1	48.6886	76.1665	53.5665	19.2021	56.9229	74.5106	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train1_evalseed1
1	2	49.2337	78.2537	53.8984	20.1850	56.4847	75.0354	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train1_evalseed2
1	3	49.1844	77.9490	52.1817	20.5252	56.9262	73.9826	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train1_evalseed3
1	4	49.0700	77.1334	51.8501	20.3526	56.4182	75.8900	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train1_evalseed4
2	0	44.4408	69.8981	47.7898	18.4089	51.0336	72.8974	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train2_evalseed0
2	1	44.2436	72.7926	43.8157	18.4370	50.7571	71.3596	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train2_evalseed1
2	2	44.8488	71.1710	45.1742	18.5869	52.5863	69.9953	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train2_evalseed2
2	3	44.4894	71.5881	44.9952	18.2349	51.7552	72.8132	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train2_evalseed3
2	4	44.7950	71.7713	46.0369	18.6372	52.0041	72.3028	/dev/shm/diffdet_eval_d3pm_qhead_iter10000_step5/train2_evalseed4
