variant	train_seed	eval_seed	sample_step	AP	AP50	AP75	APs	APm	APl	out_dir
d3pm_qhead_warmstart	0	0	1	48.0077	75.4127	51.0478	20.4236	54.9880	74.1184	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed0_evalseed0
d3pm_qhead_warmstart	0	1	1	46.9841	73.8487	47.9358	20.4624	53.7533	76.2053	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed0_evalseed1
d3pm_qhead_warmstart	0	2	1	47.3221	75.0493	50.9128	19.6526	54.6598	75.1344	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed0_evalseed2
d3pm_qhead_warmstart	0	3	1	47.4153	74.4445	50.7041	19.3129	54.6305	77.3454	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed0_evalseed3
d3pm_qhead_warmstart	0	4	1	47.6778	73.9565	50.4133	19.1092	55.1202	76.3609	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed0_evalseed4
d3pm_qhead_warmstart	1	0	1	46.2323	73.2103	47.1877	18.0707	52.9219	71.2584	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed1_evalseed0
d3pm_qhead_warmstart	1	1	1	46.0714	73.4097	46.6092	18.5972	52.8087	73.2924	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed1_evalseed1
d3pm_qhead_warmstart	1	2	1	47.1625	74.4973	48.0440	18.6086	54.4441	73.0203	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed1_evalseed2
d3pm_qhead_warmstart	1	3	1	45.4819	71.5817	47.1141	19.3362	52.0083	73.0541	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed1_evalseed3
d3pm_qhead_warmstart	1	4	1	45.8392	72.9301	46.0066	18.3779	52.6726	72.4535	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed1_evalseed4
d3pm_qhead_warmstart	2	0	1	47.0137	74.5920	50.3742	20.7376	54.0521	72.3708	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed2_evalseed0
d3pm_qhead_warmstart	2	1	1	47.0243	74.5250	49.1261	18.4341	53.9695	73.5589	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed2_evalseed1
d3pm_qhead_warmstart	2	2	1	47.4278	75.2099	52.5381	20.0562	53.7326	72.3711	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed2_evalseed2
d3pm_qhead_warmstart	2	3	1	47.1414	74.3926	51.2451	18.6619	54.3073	72.3701	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed2_evalseed3
d3pm_qhead_warmstart	2	4	1	46.8012	73.1736	47.9824	18.4110	54.4297	68.5921	/dev/shm/diffdet_eval_d3pm_qhead_warmstart_baseline_seed2_evalseed4
