train_seed	exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
0	sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	49.6996	77.1044	52.6777	22.3303	56.3524	75.1798	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed0
0	sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	49.6173	77.0912	50.3950	23.0566	55.7909	74.6273	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed1
0	sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	49.3826	77.4180	53.1992	21.8252	56.2793	73.4360	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed2
0	sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	49.2045	76.8347	52.4021	21.3747	56.3095	73.4644	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed3
0	sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	49.9149	77.7842	54.0467	23.0567	56.8542	73.9396	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed4
1	sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.0396	72.2596	48.7156	20.2437	53.5346	71.3169	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed0
1	sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	47.1982	73.4666	48.8717	17.6099	54.6105	71.8405	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed1
1	sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.1578	74.6148	52.2177	19.9163	55.8622	71.8139	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed2
1	sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.2989	74.3466	50.9291	19.4160	54.1617	71.8983	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed3
1	sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	47.3947	75.1631	48.3761	19.9367	55.2672	71.9101	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed4
