sample_step	mode	langevin_steps	scale	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
5	final	1	0.0	0	48.6758	76.4759	50.5253	20.5990	55.6235	75.5416	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.0_seed0
5	final	1	0.0	1	48.3366	75.7781	48.6222	20.2680	55.6057	72.7262	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.0_seed1
5	final	1	0.0	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.0_seed2
5	final	1	0.0	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.0_seed3
5	final	1	0.0	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.0_seed4
5	final	1	0.05	0	48.6758	76.4759	50.5253	20.5990	55.6235	75.5416	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.05_seed0
5	final	1	0.05	1	48.3366	75.7781	48.6222	20.2680	55.6057	72.7262	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.05_seed1
5	final	1	0.05	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.05_seed2
5	final	1	0.05	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.05_seed3
5	final	1	0.05	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.05_seed4
5	final	1	0.1	0	48.6758	76.4759	50.5253	20.5990	55.6235	75.5416	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.1_seed0
5	final	1	0.1	1	48.3366	75.7781	48.6222	20.2680	55.6057	72.7262	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.1_seed1
5	final	1	0.1	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.1_seed2
5	final	1	0.1	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.1_seed3
5	final	1	0.1	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k1_scale0.1_seed4
5	final	2	0.0	0	48.6758	76.4759	50.5253	20.5990	55.6235	75.5416	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.0_seed0
5	final	2	0.0	1	48.3366	75.7781	48.6222	20.2680	55.6057	72.7262	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.0_seed1
5	final	2	0.0	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.0_seed2
5	final	2	0.0	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.0_seed3
5	final	2	0.0	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.0_seed4
5	final	2	0.05	0	48.6758	76.4759	50.5253	20.5990	55.6235	75.5416	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.05_seed0
5	final	2	0.05	1	48.3366	75.7781	48.6222	20.2680	55.6057	72.7262	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.05_seed1
5	final	2	0.05	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.05_seed2
5	final	2	0.05	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.05_seed3
5	final	2	0.05	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.05_seed4
5	final	2	0.1	0	48.6758	76.4759	50.5253	20.5990	55.6235	75.5416	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.1_seed0
5	final	2	0.1	1	48.3366	75.7781	48.6222	20.2680	55.6057	72.7262	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.1_seed1
5	final	2	0.1	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.1_seed2
5	final	2	0.1	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.1_seed3
5	final	2	0.1	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modefinal_k2_scale0.1_seed4
