exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	inference_s_per_img	inference_fps	out_dir
rerun_deliverables_step1_seed0	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	49.6979	77.1023	52.6812	22.3321	56.3544	75.1731	0.009040	110.616	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed0/evalseed0
rerun_deliverables_step1_seed0	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	49.6168	77.0921	50.3955	23.0572	55.7918	74.6076	0.009077	110.169	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed0/evalseed1
rerun_deliverables_step1_seed0	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	49.3820	77.4184	53.1988	21.8265	56.2792	73.4317	0.009045	110.561	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed0/evalseed2
rerun_deliverables_step1_seed0	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	49.2035	76.8282	52.4025	21.3752	56.3067	73.4649	0.009111	109.763	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed0/evalseed3
rerun_deliverables_step1_seed0	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	49.9130	77.7791	54.0460	23.0532	56.8547	73.9400	0.009137	109.445	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed0/evalseed4
rerun_deliverables_step1_seed1	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.0392	72.2564	48.6741	20.2387	53.5389	71.3227	0.009109	109.782	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed1/evalseed0
rerun_deliverables_step1_seed1	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	47.2163	73.4711	48.9353	17.6184	54.6081	71.8443	0.009097	109.932	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed1/evalseed1
rerun_deliverables_step1_seed1	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.1599	74.6164	52.2468	19.9168	55.8634	71.8071	0.009108	109.791	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed1/evalseed2
rerun_deliverables_step1_seed1	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.2924	74.3537	50.8989	19.4147	54.1681	71.9017	0.009131	109.520	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed1/evalseed3
rerun_deliverables_step1_seed1	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	650b5540cdd097b243148177d312f88b0cfb31b80577f68f3b9ea2d9fb69f5e0	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	47.3920	75.1661	48.3649	19.9408	55.2730	71.9104	0.009088	110.032	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed1/evalseed4
rerun_deliverables_step1_seed2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.8755	75.4800	50.3777	21.4499	54.7084	73.5566	0.009161	109.161	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed2/evalseed0
rerun_deliverables_step1_seed2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	48.5053	75.7189	50.9342	19.6056	55.4966	76.3692	0.009130	109.532	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed2/evalseed1
rerun_deliverables_step1_seed2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.9306	76.9691	53.1116	21.3965	55.2187	74.2344	0.009276	107.811	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed2/evalseed2
rerun_deliverables_step1_seed2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	49.9445	76.6527	53.8866	21.7638	56.0371	77.3153	0.009126	109.571	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed2/evalseed3
rerun_deliverables_step1_seed2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	48.4482	74.9868	51.8014	19.7794	55.4883	75.8411	0.009196	108.743	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed2/evalseed4
rerun_deliverables_step1_seed3	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	48.2646	75.6262	50.8129	20.1381	55.9902	72.2802	0.009222	108.433	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed3/evalseed0
rerun_deliverables_step1_seed3	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	48.9484	76.1038	50.5570	22.5426	55.6883	72.1245	0.009235	108.287	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed3/evalseed1
rerun_deliverables_step1_seed3	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	49.1503	77.1775	50.9444	21.2943	56.3171	72.3119	0.009246	108.158	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed3/evalseed2
rerun_deliverables_step1_seed3	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	48.8899	76.2819	50.9165	19.6935	56.0902	75.6128	0.009241	108.216	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed3/evalseed3
rerun_deliverables_step1_seed3	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	49.0568	76.1790	52.7043	21.1242	56.6183	72.2672	0.009138	109.433	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed3/evalseed4
rerun_deliverables_step1_seed4	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.9471	74.8278	50.5517	22.5534	54.7270	71.7857	0.009146	109.334	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed4/evalseed0
rerun_deliverables_step1_seed4	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	48.0502	75.8874	51.2040	22.6720	54.5516	74.3075	0.009185	108.873	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed4/evalseed1
rerun_deliverables_step1_seed4	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.5375	76.4676	52.3051	21.5980	55.3899	73.9912	0.009134	109.484	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed4/evalseed2
rerun_deliverables_step1_seed4	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.9001	75.2211	51.7629	21.1361	54.8990	75.7025	0.009168	109.069	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed4/evalseed3
rerun_deliverables_step1_seed4	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	48.1557	74.4034	51.6191	22.3966	55.4139	76.1971	0.009150	109.293	/home/ubuntu/tiasha/archives/baselines/evals/rerun_deliverables_step1_seed4/evalseed4
